hour,plan_spend,fact_spend,plan_kpi,fact_kpi,top_cap,top_spend
0,1686.60,1616.54,6.108,9,786.05,786.02
1,3487.44,3417.44,12.611,17,858.21,858.18
2,5399.22,5328.71,19.491,23,934.44,934.29
3,7492.67,7422.16,26.998,28,1048.20,1048.09
4,9785.69,9674.10,35.186,42,1182.73,1182.63
5,12306.65,12195.26,44.146,55,1340.24,1340.23
6,15064.20,14953.01,53.921,71,1492.52,1492.49
7,18084.97,17926.81,64.571,81,1690.45,1690.45
8,21273.93,21116.14,75.794,87,1804.27,1804.26
9,24649.97,24492.36,87.640,104,1944.57,1944.37
10,28051.56,27894.29,99.582,111,1953.22,1953.17
11,31475.45,31318.48,111.625,132,1944.71,1944.60
12,34717.08,34560.48,123.060,147,1808.01,1807.99
13,37796.23,37639.84,133.963,159,1677.30,1677.16
14,40569.52,40413.28,143.899,174,1398.49,1398.26
15,43051.06,42895.02,152.837,190,1204.51,1204.35
16,45256.16,45010.13,160.823,202,1027.52,1027.52
17,47215.82,46970.19,167.957,208,878.10,878.06
18,49051.92,48602.16,174.684,220,780.43,780.39
19,50749.60,50300.63,180.911,229,714.55,714.55
20,52368.26,51920.02,186.850,234,680.46,680.45
21,53950.57,53421.96,192.639,242,679.87,679.72
22,55549.70,55021.82,198.459,248,717.88,717.79
23,57142.86,56615.55,204.245,256,727.50,727.26
24,58829.46,58303.00,210.353,264,786.05,786.05
25,60630.29,60104.58,216.856,272,858.21,858.08
26,62542.08,62017.23,223.735,281,934.45,934.39
27,64635.53,64051.70,231.243,290,1048.21,1048.06
28,66928.54,66034.20,239.430,300,1182.74,1182.68
29,69449.51,68556.93,248.391,309,1340.24,1340.10
30,72207.05,71177.26,258.165,320,1492.52,1492.51
31,75227.83,74200.47,268.816,338,1690.46,1690.42
32,78416.79,77391.90,280.039,357,1804.28,1804.17
33,81792.83,80560.93,291.885,371,1944.57,1944.50
34,85194.42,83965.69,303.827,390,1953.22,1953.13
35,88618.30,87392.88,315.869,404,1944.71,1944.69
36,91859.94,90356.07,327.305,416,1808.02,1807.89
37,94939.08,93438.96,338.208,426,1677.31,1677.18
38,97712.38,96145.14,348.143,435,1398.49,1398.46
39,100193.92,98524.99,357.081,447,1204.51,1204.41
40,102399.02,100733.69,365.068,464,1027.53,1027.48
41,104358.67,102696.50,372.201,470,878.11,877.91
42,106194.78,104369.14,378.929,476,780.43,780.29
43,107892.46,106023.82,385.156,483,714.55,714.50
44,109511.12,107634.91,391.094,487,680.47,680.30
45,111093.42,109143.85,396.884,496,679.87,679.80
46,112692.55,110745.99,402.704,505,717.89,717.69
47,114285.71,112315.91,408.489,516,727.50,727.48
48,115972.32,113928.36,414.598,524,786.06,785.89
49,117773.15,115473.58,421.100,533,858.22,858.10
50,119684.93,117239.87,427.980,541,934.45,934.40
51,121778.39,119312.25,435.487,553,1048.21,1048.13
52,124071.40,121353.67,443.675,565,1182.74,1182.69
53,126592.37,123698.38,452.635,578,1340.25,1340.10
54,129349.91,126180.57,462.410,590,1492.53,1492.41
55,132370.69,129209.22,473.060,604,1690.47,1690.29
56,135559.65,132144.92,484.283,625,1804.29,1804.21
57,138935.69,135427.27,496.130,644,1944.58,1944.41
58,142337.27,138838.54,508.072,662,1953.23,1953.12
59,145761.16,142272.41,520.114,670,1944.72,1944.70
60,149002.80,145523.74,531.549,688,1808.03,1808.02
61,152081.94,148612.29,542.452,695,1677.31,1677.22
62,154855.24,151394.85,552.388,713,1398.50,1398.47
63,157336.78,153885.02,561.314,726,1204.52,1204.51
64,159541.87,156098.04,569.271,740,1027.53,1027.48
65,161501.53,158004.45,576.360,754,878.11,878.06
66,163337.63,159751.21,583.029,761,780.44,780.30
67,165035.32,161352.75,589.188,769,714.56,714.52
68,166653.97,162788.54,595.048,773,680.47,680.30
69,168236.28,164377.71,600.751,781,679.88,679.83
70,169835.41,165829.25,606.476,787,717.89,717.86
71,171428.57,167401.21,612.157,794,727.51,727.48
72,173115.18,169051.18,618.146,802,786.06,786.04
73,174916.01,170859.62,624.511,809,858.22,858.18
74,176827.79,172587.34,631.235,819,934.45,934.40
75,178921.25,174500.69,638.562,829,1048.22,1048.04
76,181214.26,176561.52,646.542,840,1182.74,1182.66
77,183735.22,178746.13,655.262,857,1340.25,1340.23
78,186492.77,181516.22,664.757,872,1492.53,1492.36
79,189513.55,184416.90,675.090,888,1690.47,1690.29
80,192702.50,187620.14,685.956,903,1804.29,1804.26
81,196078.54,191010.92,697.404,917,1944.59,1944.52
82,199480.13,194427.35,708.913,927,1953.24,1953.10
83,202904.02,197866.50,720.482,941,1944.73,1944.71
84,206145.65,201122.92,731.428,959,1808.03,1808.00
85,209224.80,204216.55,741.824,973,1677.32,1677.32
86,211998.09,207003.98,751.234,984,1398.50,1398.43
87,214479.64,209498.69,759.660,996,1204.52,1204.48
88,216684.73,211715.88,767.152,1007,1027.54,1027.48
89,218644.39,213686.61,773.813,1022,878.11,878.00
90,220480.49,215533.46,780.064,1024,780.44,780.28
91,222178.17,217241.27,785.832,1028,714.56,714.53
92,223796.83,218869.37,791.320,1030,680.47,680.23
93,225379.14,220460.98,796.665,1041,679.88,679.87
94,226978.27,222069.20,802.039,1047,717.89,717.89
95,228571.43,223671.16,807.376,1052,727.51,727.36
96,230258.03,225366.99,813.007,1057,786.06,785.97
97,232058.86,227177.38,818.999,1062,858.22,858.06
98,233970.65,229099.20,825.336,1066,934.46,934.39
99,236064.10,231203.43,832.250,1077,1048.22,1048.19
100,238357.11,233483.58,839.792,1085,1182.75,1182.70
101,240878.08,236016.77,848.048,1101,1340.26,1340.21
102,243635.62,238673.91,857.047,1119,1492.54,1492.50
103,246656.40,241708.78,866.861,1134,1690.48,1690.43
104,249845.36,244912.25,877.189,1154,1804.30,1804.09
105,253221.40,248303.43,888.084,1166,1944.60,1944.50
106,256622.99,251720.39,899.037,1175,1953.25,1953.22
107,260046.87,255160.01,910.043,1193,1944.74,1944.72
108,263288.51,258416.84,920.446,1203,1808.04,1807.97
109,266367.65,261510.79,930.316,1217,1677.33,1677.22
110,269140.95,264298.68,939.214,1228,1398.51,1398.49
111,271622.49,266793.71,947.168,1235,1204.52,1204.45
112,273827.59,269011.15,954.228,1244,1027.54,1027.36
113,275787.25,270982.17,960.496,1250,878.12,877.98
114,277623.35,272764.77,966.364,1255,780.44,780.31
115,279321.03,274461.10,971.780,1262,714.56,714.37
116,280939.69,275909.44,976.933,1271,680.48,680.38
117,282521.99,277384.78,981.957,1273,679.88,679.86
118,284121.12,278843.52,987.021,1280,717.89,717.85
119,285714.29,280446.87,992.055,1282,727.51,727.47
120,287400.89,282143.93,997.373,1291,786.07,785.89
121,289201.72,283883.59,1003.039,1304,858.23,858.13
122,291113.51,285807.06,1009.040,1308,934.46,934.45
123,293206.96,287912.87,1015.597,1315,1048.22,1048.07
124,295499.97,290174.76,1022.763,1322,1182.75,1182.58
125,298020.94,292709.93,1030.622,1334,1340.26,1340.21
126,300778.48,295482.70,1039.201,1345,1492.55,1492.50
127,303799.26,298519.39,1048.576,1362,1690.49,1690.33
128,306988.22,301724.90,1058.452,1373,1804.31,1804.14
129,310364.26,305118.17,1068.885,1385,1944.60,1944.54
130,313765.84,308537.24,1079.376,1399,1953.26,1953.25
131,317189.73,311978.84,1089.915,1413,1944.75,1944.58
132,320431.37,315237.71,1099.872,1426,1808.05,1807.96
133,323510.51,318333.58,1109.309,1437,1677.33,1677.13
134,326283.81,321123.42,1117.788,1450,1398.52,1398.46
