hour,plan_spend,fact_spend,plan_kpi,fact_kpi
0,1631.16,1630.84,3.064,3
1,3322.73,3566.19,6.223,6
2,5120.66,5606.42,9.577,14
3,7077.41,7804.67,13.224,18
4,9165.79,10243.88,17.131,18
5,11412.59,12680.40,21.355,26
6,13868.94,15100.31,26.013,28
7,16614.46,17812.46,31.282,32
8,19596.16,20752.00,37.085,38
9,22827.01,24005.20,43.440,42
10,26288.66,27470.16,50.309,50
11,29860.65,31038.44,57.457,54
12,33432.54,34581.22,64.611,61
13,36865.46,37583.28,71.510,65
14,39978.57,40660.20,77.762,73
15,42798.36,43453.80,83.420,77
16,45226.11,45864.87,88.261,81
17,47335.59,47953.98,92.431,85
18,49182.39,49643.22,96.046,90
19,50865.61,51088.51,99.316,94
20,52459.69,52640.81,102.376,95
21,54029.56,54170.34,105.375,99
22,55573.67,55469.75,108.300,102
23,57142.86,56644.51,111.258,104
24,58774.02,57882.50,114.323,105
25,60465.59,59414.42,117.482,108
26,62263.52,60949.79,120.835,110
27,64220.26,62763.43,124.483,110
28,66308.65,64557.13,128.389,115
29,68555.45,66664.85,132.614,121
30,71011.80,69025.58,137.271,128
31,73757.31,71498.47,142.540,135
32,76739.02,74150.62,148.343,138
33,79969.87,77438.19,154.698,146
34,83431.52,80931.14,161.567,154
35,87003.50,84512.21,168.716,168
36,90575.40,88056.07,175.869,177
37,94008.31,91462.87,182.768,182
38,97121.43,94558.28,189.020,187
39,99941.21,97381.36,194.678,191
40,102368.97,99788.47,199.519,196
41,104478.44,101877.77,203.689,202
42,106325.25,103690.01,207.304,203
43,108008.46,105361.98,210.574,204
44,109602.55,106921.57,213.634,205
45,111172.42,108427.38,216.634,206
46,112716.53,109853.26,219.558,211
47,114285.71,111266.98,222.517,212
48,115916.87,112809.19,225.581,218
49,117608.45,114498.16,228.740,222
50,119406.38,116245.04,232.094,223
51,121363.12,118154.13,235.741,227
52,123451.51,120272.54,239.648,232
53,125698.31,122388.74,243.872,236
54,128154.66,124877.30,248.530,239
55,130900.17,127464.35,253.798,242
56,133881.87,130496.68,259.601,250
57,137112.72,133785.64,265.957,260
58,140574.38,137300.74,272.825,271
59,144146.36,140939.60,279.974,283
60,147718.26,144575.32,287.128,286
61,151151.17,148081.88,294.026,292
62,154264.28,151260.44,300.255,297
63,157084.07,154132.92,305.851,304
64,159511.83,156600.53,310.607,308
65,161621.30,158729.00,314.685,308
66,163468.11,160475.44,318.207,311
67,165151.32,161991.46,321.383,311
68,166745.40,163486.68,324.349,314
69,168315.27,164961.54,327.251,317
70,169859.38,166128.16,330.077,318
71,171428.57,167608.90,332.933,320
72,173059.73,169171.08,335.887,324
73,174751.30,170602.68,338.931,328
74,176549.24,172185.94,342.158,331
75,178505.98,173846.38,345.665,333
76,180594.37,175716.74,349.412,334
77,182841.16,177901.41,353.451,336
78,185297.51,180313.30,357.883,339
79,188043.03,182771.16,362.866,344
80,191024.73,185689.55,368.307,347
81,194255.58,188995.44,374.216,355
82,197717.23,192562.31,380.540,363
83,201289.22,196283.27,387.055,370
84,204861.11,199996.46,393.514,377
85,208294.03,203584.63,399.683,381
86,211407.14,206839.47,405.229,385
87,214226.93,209787.54,410.217,389
88,216654.68,212252.10,414.467,396
89,218764.16,214411.12,418.125,402
90,220610.97,216267.32,421.296,404
91,222294.18,217943.37,424.164,406
92,223888.26,219307.69,426.856,407
93,225458.13,220688.93,429.496,413
94,227002.24,222069.78,432.079,415
95,228571.43,223553.01,434.697,417
96,230202.59,224999.46,437.413,420
97,231894.16,226559.37,440.223,422
98,233692.09,228119.15,443.209,425
99,235648.83,229979.84,446.460,429
100,237737.22,231906.06,449.935,430
101,239984.02,233704.37,453.679,435
102,242440.37,235954.12,457.771,437
103,245185.89,238707.14,462.350,440
104,248167.59,241378.21,467.322,449
105,251398.44,244693.17,472.696,458
106,254860.09,248267.99,478.431,465
107,258432.08,251989.94,484.320,468
108,262003.97,255705.05,490.160,474
109,265436.88,259289.47,495.735,480
110,268550.00,262538.87,500.755,487
111,271369.79,265482.16,505.278,492
112,273797.54,267990.89,509.145,493
113,275907.02,270143.48,512.485,496
114,277753.82,271999.81,515.392,500
115,279437.04,273626.52,518.031,503
116,281031.12,275182.98,520.517,505
117,282600.99,276615.24,522.962,507
118,284145.10,277978.07,525.364,513
119,285714.29,279127.23,527.805,515
120,287345.45,280685.49,530.345,517
121,289037.02,282291.68,532.982,520
122,290834.95,284008.76,535.789,521
123,292791.69,285758.80,538.852,524
124,294880.08,287600.99,542.127,527
125,297126.88,289533.18,545.652,531
126,299583.23,291910.44,549.495,535
127,302328.74,294668.37,553.778,541
128,305310.45,297531.50,558.405,547
129,308541.29,300850.56,563.389,549
130,312002.95,304269.26,568.692,559
131,315574.93,307995.45,574.125,563
132,319146.83,311707.65,579.512,568
133,322579.74,315284.81,584.654,571
134,325692.85,318525.53,589.290,577
135,328512.64,321463.04,593.474,585
136,330940.40,323968.57,597.060,593
137,333049.87,326114.87,600.168,596
138,334896.68,327934.79,602.883,598
139,336579.89,329606.29,605.352,598
140,338173.97,331164.17,607.689,601
141,339743.84,332428.02,609.990,602
142,341287.95,333920.17,612.260,603
143,342857.14,335268.45,614.572,605
144,344488.30,336837.91,616.982,608
145,346179.88,338434.31,619.490,613
146,347977.81,340056.73,622.161,614
147,349934.55,341955.40,625.076,616
148,352022.94,343892.80,628.189,622
149,354269.74,345801.75,631.532,628
150,356726.09,348228.86,635.163,632
151,359471.60,351018.28,639.194,632
152,362453.30,354061.74,643.529,638
153,365684.15,357384.88,648.183,648
154,369145.81,360962.78,653.122,655
155,372717.79,364680.00,658.173,666
156,376289.69,368366.49,663.181,669
157,379722.60,371885.63,667.959,672
